号牌种类,号牌号码,燃料种类,出厂日期
小型汽车,AKL200,汽油,2012/4/1
小型汽车,AJG666,汽油,2012/4/1
小型汽车,A122V5,柴油,2012/4/1
小型汽车,AFT071,汽油,2012/4/1
小型汽车,APC003,汽油,2012/4/1
小型汽车,AUF035,汽油,2012/4/1
小型汽车,ASJ456,汽油,2012/4/1
小型汽车,A25069,汽油,2012/4/1
小型汽车,AVA656,油电混合,2012/4/1
小型汽车,A45242,汽油,2012/4/1
小型汽车,A373U6,柴油,2012/4/1
小型汽车,AFX900,汽油,2012/4/1
小型汽车,AMV555,汽油,2012/4/1
小型汽车,A01325,汽油,2012/4/2
小型汽车,A35015,汽油,2012/4/5
普通摩托车,AA9077,汽油,2012/4/5
小型汽车,A92F28,汽油,2012/4/6
小型汽车,A687R3,汽油,2012/4/9
小型汽车,A19101,汽油,2012/4/10
小型汽车,AUT558,汽油,2012/4/11
小型汽车,A45991,汽油,2012/4/11
小型汽车,A529S7,汽油,2012/4/12
普通摩托车,AA9239,汽油,2012/4/16
小型汽车,AST110,汽油,2012/4/17
小型汽车,A33663,汽油,2012/4/17
小型汽车,A937V6,汽油,2012/4/20
小型汽车,A990P1,汽油,2012/4/21
小型汽车,A49032,汽油,2012/4/21
小型汽车,A59176,汽油,2012/4/21
大型汽车,AA6226,柴油,2012/4/23
小型汽车,A91726,汽油,2012/4/23
小型汽车,A625R1,汽油,2012/4/24
小型汽车,A74348,汽油,2012/4/26
小型汽车,A77720,汽油,2012/4/26
小型汽车,A875S5,汽油,2012/4/26
小型汽车,AWR621,汽油,2012/4/26
小型汽车,A77768,汽油,2012/4/27
小型汽车,A057T8,汽油,2012/4/27
大型汽车,AA6695,柴油,2012/4/30
小型汽车,A01504,汽油,2012/5/1
小型汽车,AUS261,汽油,2012/5/1
小型汽车,AWW187,汽油,2012/5/1
小型汽车,A22638,汽油,2012/5/1
小型汽车,AJT555,汽油,2012/5/1
小型汽车,A66611,汽油,2012/5/1
小型汽车,A98110,汽油,2012/5/1
小型汽车,A11657,汽油,2012/5/1
小型汽车,A94742,汽油,2012/5/1
小型汽车,AFZ999,汽油,2012/5/1
小型汽车,AXM787,汽油,2012/5/1
小型汽车,AGE422,汽油,2012/5/1
小型汽车,AQR777,汽油,2012/5/1
小型汽车,APN698,汽油,2012/5/1
小型汽车,A683S3,汽油,2012/5/1
小型汽车,A061U8,汽油,2012/5/1
小型汽车,AKX433,汽油,2012/5/1
小型汽车,A80808,油电混合,2012/5/1
小型汽车,A01398,汽油,2012/5/1
小型汽车,ATT550,汽油,2012/5/1
小型汽车,ATR123,汽油,2012/5/1
小型汽车,AKF666,汽油,2012/5/1
小型汽车,A23727,油电混合,2012/5/1
小型汽车,A639U3,汽油,2012/5/4
小型汽车,A01148,汽油,2012/5/5
小型汽车,A02266,汽油,2012/5/5
小型汽车,A23930,汽油,2012/5/6
小型汽车,A927S1,汽油,2012/5/8
小型汽车,A16776,汽油,2012/5/8
小型汽车,AZM919,汽油,2012/5/8
大型汽车,AA6908,汽油,2012/5/9
小型汽车,A336S1,汽油,2012/5/9
大型汽车,AA5831,柴油,2012/5/10
小型汽车,A677U5,汽油,2012/5/10
小型汽车,A291N0,汽油,2012/5/10
小型汽车,A13118,汽油,2012/5/12
小型汽车,A269V6,汽油,2012/5/12
普通摩托车,A57471,汽油,2012/5/14
大型汽车,AA6215,柴油,2012/5/15
小型汽车,A602K8,汽油,2012/5/16
普通摩托车,A57381,汽油,2012/5/16
小型汽车,A15865,汽油,2012/5/18
小型汽车,A22214,汽油,2012/5/18
小型汽车,A807S1,汽油,2012/5/19
小型汽车,AYT989,汽油,2012/5/21
小型汽车,A71273,汽油,2012/5/23
小型汽车,AZV777,汽油,2012/5/23
普通摩托车,AA9069,汽油,2012/5/24
小型汽车,A94275,汽油,2012/5/25
小型汽车,AYT777,汽油,2012/5/25
小型汽车,ADS306,汽油,2012/5/27
小型汽车,A670T0,汽油,2012/5/28
普通摩托车,A57642,汽油,2012/5/28
普通摩托车,AA9216,汽油,2012/5/28
小型汽车,A215V0,汽油,2012/5/29
小型汽车,A590U3,汽油,2012/5/29
小型汽车,A03004,汽油,2012/5/29
小型汽车,A09921,汽油,2012/5/30
小型汽车,A385U7,汽油,2012/5/30
小型汽车,A808T8,汽油,2012/5/30
小型汽车,A09234,双燃料,2012/5/30
小型汽车,A23405,汽油,2012/5/30
小型汽车,A103T9,汽油,2012/5/31
小型汽车,AAH559,油电混合,2012/6/1
小型汽车,A01841,汽油,2012/6/1
小型汽车,A02518,油电混合,2012/6/1
小型汽车,A14672,汽油,2012/6/1
小型汽车,AZP677,汽油,2012/6/1
小型汽车,A52838,汽油,2012/6/1
小型汽车,ALQ005,汽油,2012/6/1
小型汽车,ATQ088,汽油,2012/6/1
小型汽车,AQQ826,汽油,2012/6/1
小型汽车,A02056,汽油,2012/6/1
小型汽车,A75043,汽油,2012/6/1
小型汽车,A11875,汽油,2012/6/1
小型汽车,AYL333,汽油,2012/6/1
小型汽车,ANK996,汽油,2012/6/1
小型汽车,ASA600,汽油,2012/6/1
小型汽车,ALS335,汽油,2012/6/1
小型汽车,A568U8,汽油,2012/6/1
小型汽车,AZW444,汽油,2012/6/1
小型汽车,A509V0,汽油,2012/6/1
小型汽车,AJM678,汽油,2012/6/1
小型汽车,APF318,汽油,2012/6/1
小型汽车,A657S0,汽油,2012/6/1
小型汽车,A658T2,汽油,2012/6/1
小型汽车,A797S8,汽油,2012/6/1
小型汽车,A770S8,汽油,2012/6/1
小型汽车,A087U7,汽油,2012/6/1
小型汽车,ACM444,汽油,2012/6/1
小型汽车,AZN826,汽油,2012/6/1
小型汽车,A12609,柴油,2012/6/1
小型汽车,A57552,油电混合,2012/6/1
小型汽车,A02325,汽油,2012/6/1
小型汽车,A22252,汽油,2012/6/1
小型汽车,A34913,汽油,2012/6/1
小型汽车,A24569,汽油,2012/6/1
小型汽车,AFU919,汽油,2012/6/1
小型汽车,A703S9,汽油,2012/6/1
小型汽车,A36191,汽油,2012/6/1
小型汽车,A82228,汽油,2012/6/3
小型汽车,A659U1,汽油,2012/6/4
小型汽车,A79358,汽油,2012/6/4
小型汽车,A596S3,汽油,2012/6/6
小型汽车,A817V0,汽油,2012/6/7
小型汽车,ANH106,汽油,2012/6/7
小型汽车,A923V2,汽油,2012/6/8
小型汽车,AQC555,汽油,2012/6/8
小型汽车,A106T3,汽油,2012/6/8
教练汽车,A2753,双燃料,2012/6/8
大型汽车,AA5431,柴油,2012/6/9
小型汽车,ACN839,汽油,2012/6/11
小型汽车,A18713,汽油,2012/6/12
小型汽车,A771U1,汽油,2012/6/12
小型汽车,AHX805,汽油,2012/6/12
普通摩托车,AA9295,汽油,2012/6/15
小型汽车,ABT555,汽油,2012/6/16
小型汽车,A337S2,汽油,2012/6/18
小型汽车,A74709,汽油,2012/6/19
小型汽车,A207V9,汽油,2012/6/20
小型汽车,A580V9,汽油,2012/6/20
小型汽车,A901V6,汽油,2012/6/20
小型汽车,A123V0,汽油,2012/6/22
小型汽车,A511T3,汽油,2012/6/25
小型汽车,ALK366,汽油,2012/6/25
普通摩托车,AA9173,汽油,2012/6/25
小型汽车,A39470,汽油,2012/6/27
小型汽车,A55945,汽油,2012/6/27
小型汽车,A61323,汽油,2012/6/27
小型汽车,A35735,汽油,2012/6/27
小型汽车,A70988,汽油,2012/6/27
小型汽车,A77018,汽油,2012/6/27
小型汽车,A42559,汽油,2012/6/27
小型汽车,A89444,汽油,2012/6/27
小型汽车,A90902,汽油,2012/6/27
小型汽车,A96068,汽油,2012/6/27
小型汽车,A95001,汽油,2012/6/27
小型汽车,A96676,汽油,2012/6/27
小型汽车,A31110,汽油,2012/6/27
小型汽车,A26M73,汽油,2012/6/27
小型汽车,A43265,汽油,2012/6/27
小型汽车,A606T1,汽油,2012/6/27
小型汽车,A40116,汽油,2012/6/27
小型汽车,A59599,汽油,2012/6/27
小型汽车,A40622,汽油,2012/6/28
小型汽车,A42118,汽油,2012/6/28
小型汽车,A61796,汽油,2012/6/28
小型汽车,A40257,汽油,2012/6/28
小型汽车,A716U9,汽油,2012/6/28
小型汽车,A37112,汽油,2012/6/28
小型汽车,A40170,汽油,2012/6/28
小型汽车,A91664,汽油,2012/6/28
小型汽车,A79008,汽油,2012/6/28
小型汽车,A30453,汽油,2012/6/28
小型汽车,A93556,汽油,2012/6/28
小型汽车,A30882,汽油,2012/6/28
小型汽车,A38610,汽油,2012/6/28
小型汽车,A20518,汽油,2012/6/28
小型汽车,A35209,汽油,2012/6/28
小型汽车,A44414,汽油,2012/6/28
小型汽车,A917V8,汽油,2012/6/29
小型汽车,ADP669,汽油,2012/6/29
小型汽车,A977S0,汽油,2012/6/29
小型汽车,A312V7,汽油,2012/6/29
小型汽车,A916S2,汽油,2012/6/30
大型汽车,AA6746,汽油,2012/7/1
小型汽车,ANF156,汽油,2012/7/1
小型汽车,AZY588,汽油,2012/7/1
小型汽车,ADD369,汽油,2012/7/1
小型汽车,AZF878,汽油,2012/7/1
小型汽车,AZR789,汽油,2012/7/1
小型汽车,AZH899,汽油,2012/7/1
小型汽车,A11627,汽油,2012/7/1
小型汽车,AYR890,汽油,2012/7/1
小型汽车,A76457,汽油,2012/7/1
小型汽车,A87815,汽油,2012/7/1
小型汽车,A11956,汽油,2012/7/1
小型汽车,A79909,汽油,2012/7/1
小型汽车,A292V7,汽油,2012/7/1
小型汽车,APS789,汽油,2012/7/1
小型汽车,AY6666,汽油,2012/7/1
小型汽车,A273T9,汽油,2012/7/1
小型汽车,A081U2,汽油,2012/7/1
小型汽车,A088U3,汽油,2012/7/1
小型汽车,A32653,汽油,2012/7/1
小型汽车,ARS966,汽油,2012/7/1
小型汽车,AFT333,汽油,2012/7/1
小型汽车,AQU567,汽油,2012/7/1
小型汽车,A35802,汽油,2012/7/1
小型汽车,A22484,汽油,2012/7/2
小型汽车,A707T9,汽油,2012/7/3
小型汽车,A25348,汽油,2012/7/3
小型汽车,A23270,双燃料,2012/7/5
小型汽车,A755T9,汽油,2012/7/5
小型汽车,A57W31,汽油,2012/7/6
小型汽车,A722T0,汽油,2012/7/6
小型汽车,AWT555,汽油,2012/7/6
小型汽车,A32037,汽油,2012/7/6
小型汽车,A73673,汽油,2012/7/6
小型汽车,ALT066,汽油,2012/7/7
小型汽车,A94980,汽油,2012/7/9
小型汽车,A373S6,汽油,2012/7/9
小型汽车,A22206,汽油,2012/7/10
小型汽车,A75200,汽油,2012/7/10
小型汽车,AYS968,汽油,2012/7/10
小型汽车,A691S8,汽油,2012/7/10
小型汽车,A31308,汽油,2012/7/10
小型汽车,A18915,汽油,2012/7/11
小型汽车,A963S3,汽油,2012/7/11
普通摩托车,A57464,汽油,2012/7/11
普通摩托车,A57573,汽油,2012/7/11
大型汽车,AA5755,柴油,2012/7/12
大型汽车,AA5721,柴油,2012/7/12
小型汽车,A12343,汽油,2012/7/12
小型汽车,ARL915,汽油,2012/7/12
小型汽车,ACX028,汽油,2012/7/12
小型汽车,A319V2,汽油,2012/7/12
小型汽车,A396S7,汽油,2012/7/12
小型汽车,A71918,汽油,2012/7/13
小型汽车,A882F2,汽油,2012/7/13
小型汽车,A295N7,汽油,2012/7/13
小型汽车,AMF011,汽油,2012/7/13
小型汽车,A087U8,汽油,2012/7/13
小型汽车,A60922,汽油,2012/7/13
小型汽车,A14858,汽油,2012/7/13
小型汽车,A03489,汽油,2012/7/13
小型汽车,APT268,汽油,2012/7/13
警用汽车,A1141,汽油,2012/7/13
小型汽车,A10146,汽油,2012/7/14
小型汽车,A76805,汽油,2012/7/16
小型汽车,AYM977,汽油,2012/7/16
小型汽车,A15646,汽油,2012/7/17
小型汽车,A15973,汽油,2012/7/17
小型汽车,A755V0,汽油,2012/7/17
小型汽车,A815S2,汽油,2012/7/17
小型汽车,A860S8,汽油,2012/7/17
普通摩托车,AA9400,汽油,2012/7/17
小型汽车,ADW122,汽油,2012/7/18
小型汽车,A712U7,汽油,2012/7/18
小型汽车,A57875,汽油,2012/7/18
小型汽车,A099Q0,汽油,2012/7/18
小型汽车,A41021,汽油,2012/7/19
小型汽车,A06249,汽油,2012/7/19
小型汽车,A519U0,汽油,2012/7/19
小型汽车,A975U7,汽油,2012/7/19
小型汽车,A156T5,汽油,2012/7/19
小型汽车,A760U0,汽油,2012/7/19
小型汽车,A602R1,汽油,2012/7/19
小型汽车,AAJ138,汽油,2012/7/19
小型汽车,A48181,汽油,2012/7/19
小型汽车,ATR789,汽油,2012/7/19
小型汽车,AFZ886,汽油,2012/7/19
小型汽车,A87085,汽油,2012/7/20
小型汽车,A773R2,汽油,2012/7/20
小型汽车,A657T1,汽油,2012/7/20
小型汽车,AJG131,汽油,2012/7/20
小型汽车,A37K32,汽油,2012/7/20
小型汽车,A34958,汽油,2012/7/20
小型汽车,A30131,汽油,2012/7/20
小型汽车,A820U3,汽油,2012/7/20
小型汽车,A41786,汽油,2012/7/21
小型汽车,A91323,汽油,2012/7/21
小型汽车,A75056,汽油,2012/7/21
小型汽车,A726R1,汽油,2012/7/21
小型汽车,A73927,汽油,2012/7/21
小型汽车,A35052,汽油,2012/7/21
小型汽车,A41782,汽油,2012/7/23
小型汽车,ADH610,汽油,2012/7/23
普通摩托车,AA9340,汽油,2012/7/23
小型汽车,A15580,汽油,2012/7/24
小型汽车,A36461,汽油,2012/7/24
小型汽车,A42485,汽油,2012/7/24
小型汽车,A510S2,汽油,2012/7/24
小型汽车,A779S6,汽油,2012/7/24
小型汽车,A519T1,汽油,2012/7/24
小型汽车,A601T9,汽油,2012/7/24
小型汽车,A20144,汽油,2012/7/24
低速车,A22076,柴油,2012/7/24
小型汽车,A36687,汽油,2012/7/25
小型汽车,A72270,汽油,2012/7/25
小型汽车,A61186,汽油,2012/7/25
小型汽车,A61748,汽油,2012/7/25
小型汽车,ALQ968,汽油,2012/7/25
小型汽车,A20412,汽油,2012/7/25
小型汽车,A12044,汽油,2012/7/25
小型汽车,A03L26,汽油,2012/7/25
小型汽车,A30167,汽油,2012/7/25
小型汽车,A982S3,汽油,2012/7/25
小型汽车,A42332,汽油,2012/7/25
小型汽车,A77566,汽油,2012/7/25
小型汽车,A90163,汽油,2012/7/25
小型汽车,A75657,汽油,2012/7/25
小型汽车,A93658,汽油,2012/7/25
小型汽车,A93442,汽油,2012/7/25
小型汽车,A095Q0,汽油,2012/7/25
小型汽车,A621T3,汽油,2012/7/25
小型汽车,A32206,汽油,2012/7/25
小型汽车,A23004,汽油,2012/7/25
小型汽车,A59974,汽油,2012/7/25
小型汽车,A20694,汽油,2012/7/25
小型汽车,A24582,汽油,2012/7/25
小型汽车,A41157,汽油,2012/7/25
教练汽车,A2778,汽油,2012/7/25
小型汽车,AL2077,汽油,2012/7/26
小型汽车,A78291,汽油,2012/7/26
小型汽车,A83468,汽油,2012/7/26
小型汽车,A14097,汽油,2012/7/26
小型汽车,A756U6,汽油,2012/7/26
