2大型汽车3-11-1至2大型汽车4-4-30注销车辆信息,,,
号牌种类,号牌号码,燃料种类,出厂日期
大型汽车,A10632,汽油,1984/5/6
挂车,A2534,汽油,1984/5/7
小型汽车,A19227,汽油,1984/5/11
大型汽车,A05746,汽油,1984/5/31
大型汽车,A05121,汽油,1984/6/1
大型汽车,A10458,汽油,1984/6/2
挂车,A2065,汽油,1984/6/8
小型汽车,A32808,汽油,1984/6/11
大型汽车,A14033,汽油,1984/6/21
大型汽车,A14697,汽油,1984/7/20
大型汽车,A12233,汽油,1984/8/1
小型汽车,A13836,汽油,1984/8/1
大型汽车,A06013,汽油,1984/8/15
小型汽车,A14887,汽油,1984/8/17
小型汽车,A11422,汽油,1984/8/31
小型汽车,A04046,汽油,1984/9/1
大型汽车,A04060,汽油,1984/9/5
大型汽车,A03426,汽油,1984/9/6
大型汽车,A08655,汽油,1984/9/8
大型汽车,A08757,汽油,1984/9/10
大型汽车,A09405,汽油,1984/9/15
大型汽车,A11013,汽油,1984/9/30
小型汽车,A13254,汽油,1984/10/1
小型汽车,A19243,汽油,1984/10/1
大型汽车,A04788,汽油,1984/10/3
小型汽车,A03412,汽油,1984/10/7
大型汽车,A08624,汽油,1984/10/12
大型汽车,A20080,汽油,1984/11/1
大型汽车,A20079,汽油,1984/11/1
大型汽车,A20082,汽油,1984/11/1
大型汽车,A20077,汽油,1984/11/1
大型汽车,A20085,汽油,1984/11/1
大型汽车,A20084,汽油,1984/11/1
大型汽车,A20081,汽油,1984/11/1
大型汽车,A20078,汽油,1984/11/1
大型汽车,A20076,汽油,1984/11/1
小型汽车,A10125,汽油,1984/11/1
大型汽车,A28213,汽油,1984/11/3
小型汽车,A39408,汽油,1984/11/21
小型汽车,A12955,汽油,1984/11/27
大型汽车,A11266,汽油,1984/11/30
大型汽车,A10816,汽油,1984/12/1
大型汽车,A10815,汽油,1984/12/1
大型汽车,A15175,汽油,1984/12/1
大型汽车,A15176,汽油,1984/12/1
小型汽车,A03303,汽油,1984/12/1
小型汽车,A03305,汽油,1984/12/1
小型汽车,A24430,汽油,1984/12/5
小型汽车,A01794,汽油,1984/12/17
大型汽车,A07304,汽油,1984/12/18
大型汽车,A19833,汽油,1984/12/19
小型汽车,A16929,汽油,1984/12/26
小型汽车,A11314,汽油,1984/12/26
大型汽车,A10114,汽油,1985/1/1
大型汽车,A12897,汽油,1985/1/1
大型汽车,A26852,汽油,1985/1/1
大型汽车,A12379,汽油,1985/1/1
大型汽车,A12378,汽油,1985/1/1
大型汽车,A12880,汽油,1985/1/1
大型汽车,A16272,汽油,1985/1/1
大型汽车,A04218,汽油,1985/1/1
大型汽车,A08494,汽油,1985/1/1
大型汽车,A12929,汽油,1985/1/1
大型汽车,A12916,汽油,1985/1/1
大型汽车,A12930,汽油,1985/1/1
大型汽车,A12919,汽油,1985/1/1
大型汽车,A12615,汽油,1985/1/1
大型汽车,A17480,汽油,1985/1/1
大型汽车,A07747,汽油,1985/1/1
大型汽车,A08584,汽油,1985/1/1
大型汽车,A05271,汽油,1985/1/1
大型汽车,A14781,汽油,1985/1/1
大型汽车,A09054,汽油,1985/1/1
大型汽车,A09053,汽油,1985/1/1
大型汽车,A06465,汽油,1985/1/1
大型汽车,A06199,汽油,1985/1/1
大型汽车,A17583,汽油,1985/1/1
大型汽车,A06182,汽油,1985/1/1
大型汽车,A16483,汽油,1985/1/1
小型汽车,A11306,汽油,1985/1/1
小型汽车,A12927,汽油,1985/1/1
小型汽车,A24866,汽油,1985/1/1
小型汽车,A10234,汽油,1985/1/1
小型汽车,A09924,汽油,1985/1/1
小型汽车,A15965,汽油,1985/1/1
小型汽车,A10809,汽油,1985/1/1
小型汽车,A24051,汽油,1985/1/1
小型汽车,A11842,汽油,1985/1/1
小型汽车,A24431,汽油,1985/1/1
小型汽车,A14757,汽油,1985/1/1
小型汽车,A14759,汽油,1985/1/1
小型汽车,A14760,汽油,1985/1/1
小型汽车,A09830,汽油,1985/1/1
小型汽车,A11008,汽油,1985/1/1
小型汽车,A16958,汽油,1985/1/1
小型汽车,A25659,汽油,1985/1/1
小型汽车,A26544,汽油,1985/1/1
小型汽车,A14763,汽油,1985/1/1
小型汽车,A15146,汽油,1985/1/1
小型汽车,A09465,汽油,1985/1/1
小型汽车,A17028,汽油,1985/1/1
小型汽车,A18444,汽油,1985/1/1
大型汽车,A09438,汽油,1985/1/5
大型汽车,A17033,汽油,1985/1/5
大型汽车,A09437,汽油,1985/1/5
小型汽车,A19505,汽油,1985/1/5
小型汽车,A20217,汽油,1985/1/6
大型汽车,A09232,汽油,1985/1/19
小型汽车,A11014,汽油,1985/1/21
小型汽车,A35215,汽油,1985/1/23
小型汽车,A03899,汽油,1985/1/26
小型汽车,A09492,汽油,1985/1/28
大型汽车,A11620,汽油,1985/2/1
大型汽车,A11608,汽油,1985/2/1
大型汽车,A11619,汽油,1985/2/1
大型汽车,A14939,汽油,1985/2/1
大型汽车,A11615,汽油,1985/2/1
大型汽车,A11616,汽油,1985/2/1
小型汽车,A19490,汽油,1985/2/1
小型汽车,A14397,汽油,1985/2/1
教练汽车,A0986,汽油,1985/2/1
小型汽车,A09361,汽油,1985/2/2
小型汽车,A05593,汽油,1985/2/6
小型汽车,A10783,汽油,1985/2/9
教练汽车,A0987,汽油,1985/2/10
大型汽车,A00452,汽油,1985/2/11
小型汽车,A05457,汽油,1985/2/12
教练汽车,A0989,汽油,1985/2/20
教练汽车,A0988,汽油,1985/2/20
大型汽车,A08744,汽油,1985/3/1
大型汽车,A13146,汽油,1985/3/1
大型汽车,A07613,汽油,1985/3/1
小型汽车,A11582,汽油,1985/3/1
大型汽车,A14491,汽油,1985/3/3
大型汽车,A15814,汽油,1985/3/4
大型汽车,A06014,汽油,1985/3/5
大型汽车,A13700,汽油,1985/3/6
小型汽车,A27528,汽油,1985/3/6
小型汽车,A04655,汽油,1985/3/7
小型汽车,A06546,汽油,1985/3/9
大型汽车,A13611,汽油,1985/3/16
大型汽车,A13610,汽油,1985/3/16
大型汽车,A09352,汽油,1985/3/21
小型汽车,A12693,汽油,1985/3/23
大型汽车,A08630,汽油,1985/3/26
小型汽车,A12489,汽油,1985/3/27
小型汽车,A15450,汽油,1985/3/30
大型汽车,A15739,汽油,1985/3/31
大型汽车,A13687,汽油,1985/4/1
大型汽车,A14950,汽油,1985/4/1
大型汽车,A11973,汽油,1985/4/1
大型汽车,A04116,汽油,1985/4/1
小型汽车,A04480,汽油,1985/4/1
小型汽车,A12963,汽油,1985/4/1
小型汽车,A13362,汽油,1985/4/3
大型汽车,A04366,汽油,1985/4/4
教练汽车,A0144,汽油,1985/4/12
小型汽车,A16043,汽油,1985/4/17
小型汽车,A03586,汽油,1985/4/21
大型汽车,A21035,汽油,1985/4/28
教练汽车,A0148,汽油,1985/4/29
小型汽车,A16726,汽油,1985/5/1
小型汽车,A01090,汽油,1985/5/1
大型汽车,A21620,汽油,1985/5/3
小型汽车,A04723,汽油,1985/5/4
大型汽车,A07724,汽油,1985/5/5
小型汽车,A26390,汽油,1985/5/5
小型汽车,A17575,汽油,1985/5/5
小型汽车,A16103,汽油,1985/5/6
大型汽车,A04249,汽油,1985/5/8
小型汽车,A05993,汽油,1985/5/11
小型汽车,A15193,汽油,1985/5/15
大型汽车,A08611,汽油,1985/5/28
大型汽车,A13608,汽油,1985/5/29
大型汽车,A06564,汽油,1985/6/1
大型汽车,A14971,汽油,1985/6/1
大型汽车,A15846,汽油,1985/6/1
小型汽车,A01173,汽油,1985/6/1
小型汽车,A18951,汽油,1985/6/1
小型汽车,A14501,汽油,1985/6/1
小型汽车,A22665,汽油,1985/6/1
大型汽车,A08587,汽油,1985/6/8
小型汽车,A06978,汽油,1985/6/16
小型汽车,A14655,汽油,1985/6/17
小型汽车,A03396,汽油,1985/6/19
小型汽车,A11754,汽油,1985/6/19
大型汽车,A07370,汽油,1985/7/1
大型汽车,A11343,汽油,1985/7/1
大型汽车,A04298,汽油,1985/7/1
大型汽车,A04782,汽油,1985/7/1
大型汽车,A12920,汽油,1985/7/1
大型汽车,A14484,汽油,1985/7/2
大型汽车,A15037,汽油,1985/7/7
大型汽车,A04660,汽油,1985/7/14
大型汽车,A06263,汽油,1985/7/23
小型汽车,A11544,汽油,1985/7/25
小型汽车,A25176,汽油,1985/7/30
大型汽车,A14468,汽油,1985/8/1
小型汽车,A15158,汽油,1985/8/1
小型汽车,A05480,汽油,1985/8/2
大型汽车,A00611,汽油,1985/8/12
大型汽车,A22820,汽油,1985/8/19
小型汽车,A18930,汽油,1985/8/22
小型汽车,A18778,汽油,1985/8/26
大型汽车,A11117,汽油,1985/9/1
大型汽车,A06098,汽油,1985/9/1
小型汽车,A17570,汽油,1985/9/6
小型汽车,A03338,汽油,1985/9/12
小型汽车,A03898,汽油,1985/9/23
小型汽车,A15402,汽油,1985/10/1
小型汽车,A16337,汽油,1985/10/1
小型汽车,A47105,汽油,1985/10/1
教练汽车,A0968,汽油,1985/10/1
小型汽车,A03810,汽油,1985/10/9
小型汽车,A01238,汽油,1985/10/10
小型汽车,A03837,汽油,1985/10/10
小型汽车,A16782,汽油,1985/10/10
小型汽车,A05559,汽油,1985/10/11
小型汽车,A06883,汽油,1985/10/19
小型汽车,A15653,汽油,1985/10/21
小型汽车,A19663,汽油,1985/10/22
小型汽车,A17213,汽油,1985/10/30
小型汽车,A16083,汽油,1985/10/30
教练汽车,A0519,汽油,1985/10/30
大型汽车,A15978,汽油,1985/11/1
大型汽车,A04554,汽油,1985/11/1
小型汽车,A14001,汽油,1985/11/1
小型汽车,A01176,汽油,1985/11/1
大型汽车,A28214,汽油,1985/11/3
小型汽车,A09324,汽油,1985/11/9
小型汽车,A01678,汽油,1985/11/11
小型汽车,A13096,汽油,1985/11/19
大型汽车,A13793,汽油,1985/11/20
大型汽车,A28264,汽油,1985/11/23
大型汽车,A09004,汽油,1985/12/1
大型汽车,A15938,汽油,1985/12/1
大型汽车,A11553,汽油,1985/12/3
小型汽车,A19406,汽油,1985/12/3
大型汽车,A11757,汽油,1985/12/6
大型汽车,A10754,汽油,1985/12/10
小型汽车,A03416,汽油,1985/12/12
小型汽车,A09355,汽油,1985/12/12
小型汽车,A11573,汽油,1985/12/13
小型汽车,A12348,汽油,1985/12/19
小型汽车,A20228,汽油,1985/12/27
小型汽车,A07479,汽油,1985/12/31
大型汽车,A07738,汽油,1986/1/1
大型汽车,A12381,汽油,1986/1/1
大型汽车,A08498,汽油,1986/1/1
大型汽车,A12301,汽油,1986/1/1
大型汽车,A10186,汽油,1986/1/1
大型汽车,A22354,汽油,1986/1/1
大型汽车,A20026,汽油,1986/1/1
大型汽车,A10187,汽油,1986/1/1
大型汽车,A20022,汽油,1986/1/1
大型汽车,A05817,汽油,1986/1/1
大型汽车,A17028,汽油,1986/1/1
大型汽车,A07162,汽油,1986/1/1
大型汽车,A28126,汽油,1986/1/1
大型汽车,A06316,汽油,1986/1/1
大型汽车,A07442,汽油,1986/1/1
大型汽车,A05761,汽油,1986/1/1
小型汽车,A18637,汽油,1986/1/1
小型汽车,A13141,汽油,1986/1/1
小型汽车,A23680,汽油,1986/1/1
小型汽车,A24647,汽油,1986/1/1
小型汽车,A12384,汽油,1986/1/1
小型汽车,A11486,汽油,1986/1/1
小型汽车,A16587,汽油,1986/1/1
小型汽车,A06674,汽油,1986/1/1
小型汽车,A06901,汽油,1986/1/1
小型汽车,A32907,汽油,1986/1/1
小型汽车,A09370,汽油,1986/1/1
小型汽车,A05039,汽油,1986/1/1
小型汽车,A26566,汽油,1986/1/1
小型汽车,A11433,汽油,1986/1/1
小型汽车,A15693,汽油,1986/1/1
小型汽车,A26429,汽油,1986/1/1
小型汽车,A05473,汽油,1986/1/1
小型汽车,A12736,汽油,1986/1/1
小型汽车,A15075,汽油,1986/1/1
小型汽车,A09369,汽油,1986/1/1
小型汽车,A25221,汽油,1986/1/1
小型汽车,A13235,汽油,1986/1/1
小型汽车,A24458,汽油,1986/1/1
小型汽车,A14497,汽油,1986/1/1
小型汽车,A12484,汽油,1986/1/1
教练汽车,A0647,汽油,1986/1/1
教练汽车,A0648,汽油,1986/1/1
教练汽车,A0649,汽油,1986/1/1
教练汽车,A0646,汽油,1986/1/1
教练汽车,A0645,汽油,1986/1/1
教练汽车,A0041,汽油,1986/1/1
小型汽车,A14035,汽油,1986/1/2
小型汽车,A20219,汽油,1986/1/3
小型汽车,A16498,汽油,1986/1/6
小型汽车,A01395,汽油,1986/1/7
小型汽车,A19780,汽油,1986/1/9
小型汽车,A11431,汽油,1986/1/9
小型汽车,A20236,汽油,1986/1/13
小型汽车,A10165,汽油,1986/1/20
小型汽车,A11563,汽油,1986/1/24
大型汽车,A03722,汽油,1986/1/29
大型汽车,A13609,汽油,1986/1/29
小型汽车,A16701,汽油,1986/1/30
教练汽车,A0983,汽油,1986/1/30
小型汽车,A09357,汽油,1986/2/2
小型汽车,A20963,汽油,1986/2/2
教练汽车,A0985,汽油,1986/2/2
小型汽车,A11142,汽油,1986/2/3
大型汽车,A07129,汽油,1986/2/12
大型汽车,A07179,汽油,1986/2/13
大型汽车,A15233,汽油,1986/2/20
教练汽车,A0966,汽油,1986/2/20
教练汽车,A0506,汽油,1986/2/21
小型汽车,A22419,汽油,1986/2/25
小型汽车,A18107,汽油,1986/2/28
小型汽车,A11136,汽油,1986/2/28
大型汽车,A04755,汽油,1986/3/1
大型汽车,A10151,汽油,1986/3/1
大型汽车,A15808,汽油,1986/3/1
大型汽车,A28303,汽油,1986/3/1
大型汽车,A09459,汽油,1986/3/1
小型汽车,A06534,汽油,1986/3/2
小型汽车,A01455,汽油,1986/3/3
大型汽车,A05084,汽油,1986/3/4
大型汽车,A13633,汽油,1986/3/6
小型汽车,A20052,汽油,1986/3/8
小型汽车,A22820,汽油,1986/3/19
小型汽车,A11436,汽油,1986/3/20
小型汽车,A26449,汽油,1986/3/20
小型汽车,A26562,汽油,1986/3/20
大型汽车,A07754,汽油,1986/3/24
小型汽车,A18290,汽油,1986/3/25
大型汽车,A04709,汽油,1986/3/28
小型汽车,A05621,汽油,1986/3/28
小型汽车,A18417,汽油,1986/3/29
大型汽车,A15706,汽油,1986/4/1
大型汽车,A06260,汽油,1986/4/1
大型汽车,A10624,汽油,1986/4/1
小型汽车,A23155,汽油,1986/4/1
小型汽车,A01529,汽油,1986/4/1
小型汽车,A10483,汽油,1986/4/3
小型汽车,A06260,汽油,1986/4/7
小型汽车,A09775,汽油,1986/4/7
小型汽车,A11859,汽油,1986/4/14
大型汽车,A12716,汽油,1986/4/18
小型汽车,A04710,汽油,1986/4/21
小型汽车,A05546,汽油,1986/4/28
大型汽车,A13679,汽油,1986/5/1
大型汽车,A11609,汽油,1986/5/1
小型汽车,A16169,汽油,1986/5/1
大型汽车,A14286,汽油,1986/5/2
小型汽车,A14535,汽油,1986/5/5
小型汽车,A38437,汽油,1986/5/16
小型汽车,A01520,汽油,1986/5/27
大型汽车,A09746,汽油,1986/5/31
小型汽车,A04408,汽油,1986/5/31
大型汽车,A06563,汽油,1986/6/1
大型汽车,A06562,汽油,1986/6/1
大型汽车,A06315,汽油,1986/6/1
小型汽车,A12474,汽油,1986/6/1
大型汽车,A07292,汽油,1986/6/3
大型汽车,A17914,汽油,1986/6/9
小型汽车,A01960,汽油,1986/6/11
小型汽车,A16920,汽油,1986/6/12
小型汽车,A11441,汽油,1986/6/17
大型汽车,A09351,汽油,1986/6/21
小型汽车,A19148,汽油,1986/6/22
教练汽车,A0282,汽油,1986/6/22
小型汽车,A17645,汽油,1986/6/25
教练汽车,A0283,汽油,1986/6/25
小型汽车,A24873,汽油,1986/6/30
大型汽车,A04296,汽油,1986/7/1
大型汽车,A04781,汽油,1986/7/1
大型汽车,A15850,汽油,1986/7/1
大型汽车,A04220,汽油,1986/7/1
小型汽车,A01727,汽油,1986/7/1
大型汽车,A06018,汽油,1986/7/2
大型汽车,A28215,汽油,1986/7/3
小型汽车,A06865,汽油,1986/7/11
小型汽车,A05475,汽油,1986/7/23
大型汽车,A22814,汽油,1986/8/1
大型汽车,A16446,汽油,1986/8/1
小型汽车,A39862,汽油,1986/8/1
小型汽车,A25256,汽油,1986/8/4
大型汽车,A05426,汽油,1986/8/9
小型汽车,A09376,汽油,1986/8/13
小型汽车,A09986,汽油,1986/8/19
大型汽车,A00467,汽油,1986/8/24
大型汽车,A14973,汽油,1986/9/1
大型汽车,A10069,汽油,1986/9/1
大型汽车,A09298,汽油,1986/9/1
小型汽车,A22459,汽油,1986/9/1
小型汽车,A24784,汽油,1986/9/1
教练汽车,A0832,汽油,1986/9/1
大型汽车,A08568,汽油,1986/9/2
小型汽车,A22767,汽油,1986/9/2
小型汽车,A11140,汽油,1986/9/9
小型汽车,A12701,汽油,1986/9/17
小型汽车,A23848,汽油,1986/9/23
大型汽车,A04361,汽油,1986/9/25
小型汽车,A06777,汽油,1986/9/25
大型汽车,A04794,汽油,1986/9/29
教练汽车,A0464,汽油,1986/9/29
大型汽车,A14940,汽油,1986/10/1
大型汽车,A20105,汽油,1986/10/1
大型汽车,A01329,汽油,1986/10/1
大型汽车,A21684,汽油,1986/10/4
小型汽车,A15971,汽油,1986/10/4
教练汽车,A0450,汽油,1986/10/14
教练汽车,A0444,汽油,1986/10/14
小型汽车,A19329,汽油,1986/10/16
小型汽车,A13820,汽油,1986/10/21
大型汽车,A04142,汽油,1986/10/25
大型汽车,A06040,汽油,1986/10/30
教练汽车,A0969,汽油,1986/10/30
大型汽车,A06061,汽油,1986/11/1
大型汽车,A06058,汽油,1986/11/1
大型汽车,A04442,汽油,1986/11/1
小型汽车,A78332,汽油,1986/11/1
小型汽车,A24276,汽油,1986/11/1
教练汽车,A0688,汽油,1986/11/1
挂车,A1116,汽油,1986/11/5
大型汽车,A11984,汽油,1986/11/8
大型汽车,A10642,汽油,1986/11/10
小型汽车,A11181,汽油,1986/11/11
小型汽车,A03037,汽油,1986/11/19
教练汽车,A0656,汽油,1986/11/19
教练汽车,A0658,汽油,1986/11/19
教练汽车,A0654,汽油,1986/11/19
大型汽车,A10313,汽油,1986/11/21
大型汽车,A10656,汽油,1986/11/22
教练汽车,A0685,汽油,1986/11/22
小型汽车,A24654,汽油,1986/11/26
小型汽车,A01705,汽油,1986/11/28
小型汽车,A15952,汽油,1986/11/28
大型汽车,A09738,汽油,1986/12/1
小型汽车,A16734,汽油,1986/12/1
教练汽车,A0991,汽油,1986/12/1
教练汽车,A0994,汽油,1986/12/1
教练汽车,A0990,汽油,1986/12/1
教练汽车,A0993,汽油,1986/12/1
教练汽车,A0992,汽油,1986/12/1
大型汽车,A05171,汽油,1986/12/5
小型汽车,A06706,汽油,1986/12/12
小型汽车,A16761,汽油,1986/12/12
小型汽车,A22990,汽油,1986/12/13
小型汽车,A11686,汽油,1986/12/15
小型汽车,A04212,汽油,1986/12/23
小型汽车,A13275,汽油,1986/12/30
小型汽车,A17157,汽油,1986/12/30
大型汽车,A05357,汽油,1987/1/1
大型汽车,A10757,汽油,1987/1/1
大型汽车,A06234,汽油,1987/1/1
大型汽车,A05632,汽油,1987/1/1
大型汽车,A13274,汽油,1987/1/1
大型汽车,A10747,汽油,1987/1/1
大型汽车,A10341,汽油,1987/1/1
大型汽车,A08194,汽油,1987/1/1
大型汽车,A08878,汽油,1987/1/1
大型汽车,A09643,汽油,1987/1/1
大型汽车,A05631,汽油,1987/1/1
大型汽车,A08502,汽油,1987/1/1
大型汽车,A09091,汽油,1987/1/1
大型汽车,A09131,汽油,1987/1/1
大型汽车,A17274,汽油,1987/1/1
大型汽车,A17587,汽油,1987/1/1
大型汽车,A17586,汽油,1987/1/1
大型汽车,A20165,汽油,1987/1/1
大型汽车,A07776,汽油,1987/1/1
大型汽车,A20163,汽油,1987/1/1
大型汽车,A09082,汽油,1987/1/1
大型汽车,A05256,汽油,1987/1/1
大型汽车,A06816,汽油,1987/1/1
大型汽车,A07177,汽油,1987/1/1
大型汽车,A07276,汽油,1987/1/1
大型汽车,A05474,汽油,1987/1/1
大型汽车,A07806,汽油,1987/1/1
大型汽车,A07815,汽油,1987/1/1
大型汽车,A05592,汽油,1987/1/1
大型汽车,A07575,汽油,1987/1/1
大型汽车,A06443,汽油,1987/1/1
大型汽车,A07482,汽油,1987/1/1
大型汽车,A05591,汽油,1987/1/1
大型汽车,A07573,汽油,1987/1/1
大型汽车,A12375,汽油,1987/1/1
大型汽车,A17050,汽油,1987/1/1
大型汽车,A06590,汽油,1987/1/1
大型汽车,A08095,汽油,1987/1/1
大型汽车,A05751,汽油,1987/1/1
大型汽车,A05878,汽油,1987/1/1
大型汽车,A08499,汽油,1987/1/1
小型汽车,A23775,汽油,1987/1/1
小型汽车,A17137,汽油,1987/1/1
小型汽车,A11714,汽油,1987/1/1
小型汽车,A17962,汽油,1987/1/1
小型汽车,A19694,汽油,1987/1/1
小型汽车,A05502,汽油,1987/1/1
教练汽车,A0453,汽油,1987/1/3
教练汽车,A0457,汽油,1987/1/3
教练汽车,A0443,汽油,1987/1/3
教练汽车,A0449,汽油,1987/1/5
教练汽车,A0426,汽油,1987/1/5
教练汽车,A0463,汽油,1987/1/5
教练汽车,A0428,汽油,1987/1/5
教练汽车,A0427,汽油,1987/1/5
教练汽车,A0445,汽油,1987/1/5
教练汽车,A0441,汽油,1987/1/5
教练汽车,A0425,汽油,1987/1/5
教练汽车,A0462,汽油,1987/1/6
教练汽车,A0452,汽油,1987/1/7
教练汽车,A0429,汽油,1987/1/7
教练汽车,A0446,汽油,1987/1/7
大型汽车,A19837,汽油,1987/1/11
大型汽车,A09353,汽油,1987/1/14
大型汽车,A25090,汽油,1987/1/17
大型汽车,A09393,汽油,1987/1/19
大型汽车,A15413,汽油,1987/1/19
大型汽车,A09241,汽油,1987/1/20
小型汽车,A05395,汽油,1987/1/21
教练汽车,A0432,汽油,1987/1/21
大型汽车,A04976,汽油,1987/1/23
大型汽车,A28038,汽油,1987/1/28
大型汽车,A18818,汽油,1987/2/1
大型汽车,A10474,汽油,1987/2/1
大型汽车,A08547,汽油,1987/2/1
小型汽车,A22517,汽油,1987/2/15
大型汽车,A05636,汽油,1987/2/18
大型汽车,A04983,汽油,1987/2/24
小型汽车,A16919,汽油,1987/2/26
大型汽车,A16642,汽油,1987/3/1
大型汽车,A22040,汽油,1987/3/1
大型汽车,A28216,汽油,1987/3/1
小型汽车,A10765,汽油,1987/3/1
小型汽车,A18199,汽油,1987/3/4
小型汽车,A04419,汽油,1987/3/4
大型汽车,A13634,汽油,1987/3/6
小型汽车,A14211,汽油,1987/3/10
大型汽车,A14816,汽油,1987/3/13
大型汽车,A14817,汽油,1987/3/13
大型汽车,A19698,汽油,1987/3/14
大型汽车,A04471,汽油,1987/3/18
